id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Frankie;Stracke;Breanne15@hotmail.com;autoimmunity;2023-11-09T09:59:55;24774;18966
2;Joanne;Cole;Grayson.Rodriguez@gmail.com;to;2023-11-09T00:20:21;4791;4610
3;Hortense;Connelly;Rowan_Conroy20@yahoo.com;lest;2023-11-08T16:16:20;26987;21673
4;London;Abbott;Jamaal.Beier@hotmail.com;reawaken;2023-11-08T16:07:27;20283;12008
5;Jessika;Glover;Coty42@yahoo.com;drafty ouch;2023-11-08T11:32:48;18840;18341
6;Manley;McLaughlin;Jonatan99@hotmail.com;unnatural pendant sheepishly;2023-11-09T07:22:34;23256;16628
7;Chester;Bartoletti;Breana31@yahoo.com;disloyal panther;2023-11-08T18:32:16;14701;31779
8;Karley;Franey;Barrett_Sanford@gmail.com;emphasise lazily;2023-11-08T17:46:11;3200;16444
9;Candido;Beatty;Melyssa33@hotmail.com;judgementally;2023-11-08T17:30:59;383;29917
10;Carey;Paucek;Darien_Kreiger@yahoo.com;urgently gum whenever;2023-11-08T16:07:52;3456;27463
